secao,scenario_id,titulo,descricao,modo_alocacao,batalhoes_ativos,batalhao_metropolitano_escolhido,total_distance_km,average_distance_km,median_distance_km,p90_distance_km,max_distance_km,centralidade_operacional_km,compactacao_territorial_km,casos_fragmentados,municipios_redistribuidos,municipios_mantidos,ganho_total_vs_atual_km,ganhos_significativos,municipios_mal_alocados,distancias_criticas,percentual_manutencao_estrutura,municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo,chave,valor
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Acopiara,-6.089114,-39.448042,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,192.3033,174.6029,17.7004,sim,nao,Acopiara foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (174.6 km frente a 192.3 km) com ganho de 17.7 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,redistribuido,False,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Amontada,-3.360166,-39.830743,pelotao,pelotao,Sobral,Itapipoca,Acaraú,Itapipoca,81.6746,32.5873,49.0873,sim,nao,Amontada foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (32.6 km frente a 81.7 km) com ganho de 49.1 km. Subordinação sugerida à companhia Itapipoca (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Aracoiaba,-4.371805,-38.812471,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,137.7343,62.08,75.6543,sim,nao,Aracoiaba foi redistribuído de Russas para Horizonte por menor distância rodoviária real (62.1 km frente a 137.7 km) com ganho de 75.7 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Baturité,-4.328526,-38.884358,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,149.6877,74.0334,75.6543,sim,nao,Baturité foi redistribuído de Russas para Horizonte por menor distância rodoviária real (74.0 km frente a 149.7 km) com ganho de 75.7 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Beberibe,-4.177415,-38.127075,pelotao,pelotao,Russas,Horizonte,Aracati,Pacajus,103.6145,53.6095,50.005,sim,nao,Beberibe foi redistribuído de Russas para Horizonte por menor distância rodoviária real (53.6 km frente a 103.6 km) com ganho de 50.0 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Boa Viagem,-5.122413,-39.732217,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,275.0736,139.8218,135.2518,sim,nao,"Boa Viagem foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Canindé,-4.358796,-39.311762,companhia,companhia,Sobral,Quixadá,Canindé,Canindé,155.2756,98.1763,57.0993,sim,nao,Canindé foi redistribuído de Sobral para Quixadá por menor distância rodoviária real (98.2 km frente a 155.3 km) com ganho de 57.1 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Cascavel,-4.129666,-38.241178,pelotao,pelotao,Caucaia,Horizonte,Aquiraz,Pacajus,77.5324,33.1325,44.3999,sim,nao,Cascavel foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (33.1 km frente a 77.5 km) com ganho de 44.4 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Chorozinho,-4.28873,-38.498572,pelotao,pelotao,Caucaia,Horizonte,Horizonte,Horizonte,79.2568,25.2991,53.9577,sim,nao,Chorozinho foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (25.3 km frente a 79.3 km) com ganho de 54.0 km. Subordinação sugerida à companhia Horizonte (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
municipios_redistribuidos,,,,,,,,,,,,,,,,,,,,,,Crateús,-5.176437,-40.677893,cia_independente,batalhao,Juazeiro do Norte,Crateús,Crateús,Crateús,357.8986,0.0,357.8986,sim,sim,Crateús torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
