municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo
Parambu,-6.211784,-40.694871,pelotao,pelotao,Juazeiro do Norte,Crateús,Tauá,Tauá,284.0325,137.5451,146.4874,sim,nao,Parambu foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (137.5 km frente a 284.0 km) com ganho de 146.5 km. Subordinação sugerida à companhia Tauá (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Pedra Branca,-5.454334,-39.715165,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,270.1844,126.4486,143.7358,sim,nao,"Pedra Branca foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True
Pentecoste,-3.792745,-39.269229,pelotao,pelotao,Sobral,Itapipoca,Itapipoca,Itapipoca,152.8301,61.2196,91.6105,sim,nao,Pentecoste foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (61.2 km frente a 152.8 km) com ganho de 91.6 km. Subordinação sugerida à companhia Itapipoca (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Quixadá,-4.966301,-39.015474,cia_independente,batalhao,Russas,Quixadá,Quixadá,Quixadá,135.8695,0.0,135.8695,sim,sim,Quixadá torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True
Quixeramobim,-5.190672,-39.288947,companhia,companhia,Russas,Quixadá,Quixeramobim,Quixeramobim,178.5842,43.3324,135.2518,sim,nao,Quixeramobim foi redistribuído de Russas para Quixadá por menor distância rodoviária real (43.3 km frente a 178.6 km) com ganho de 135.3 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True
Redenção,-4.215873,-38.727719,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,133.0431,46.0292,87.0139,sim,nao,Redenção foi redistribuído de Russas para Horizonte por menor distância rodoviária real (46.0 km frente a 133.0 km) com ganho de 87.0 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Russas,-4.926727,-37.972086,batalhao,batalhao,Russas,Russas,Russas,Russas,0.0,0.0,0.0,nao,nao,Russas permanece como sede de batalhão fixo obrigatório.,batalhao_fixo_obrigatorio,sede_batalhao,estavel,False
Santa Quitéria,-4.326081,-40.152305,pelotao,pelotao,Sobral,Sobral,Canindé,Ipu,86.3017,86.3017,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (86.3 km). Subordinação sugerida à companhia Ipu (companhia_mais_proxima_por_distancia_rodoviaria).,estrutura_atual_ja_eficiente,companhia_mais_proxima_por_distancia_rodoviaria,estavel,False
Santana do Acaraú,-3.461435,-40.211827,pelotao,pelotao,Sobral,Sobral,Sobral,Sobral,36.6845,36.6845,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (36.7 km). Subordinação sugerida à companhia Sobral (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Senador Pompeu,-5.582444,-39.370369,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,220.6352,96.6016,124.0336,sim,nao,Senador Pompeu foi redistribuído de Russas para Quixadá por menor distância rodoviária real (96.6 km frente a 220.6 km) com ganho de 124.0 km. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Sobral,-3.689133,-40.34821,batalhao,batalhao,Sobral,Sobral,Sobral,Sobral,0.0,0.0,0.0,nao,nao,Sobral permanece como sede de batalhão fixo obrigatório.,batalhao_fixo_obrigatorio,sede_batalhao,estavel,False
São Benedito,-4.047131,-40.859572,pelotao,pelotao,Sobral,Sobral,Tianguá,Tianguá,89.2316,89.2316,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (89.2 km). Subordinação sugerida à companhia Tianguá (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
São Gonçalo do Amarante,-3.605149,-38.972646,companhia,companhia,Caucaia,Caucaia,São Gonçalo do Amarante,São Gonçalo do Amarante,46.175,46.175,0.0,nao,nao,A alocação atual em Caucaia já é a mais eficiente em distância rodoviária real (46.2 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Tabuleiro do Norte,-5.243527,-38.128175,pelotao,pelotao,Russas,Russas,Limoeiro do Norte,Limoeiro do Norte,47.5773,47.5773,0.0,nao,nao,A alocação atual em Russas já é a mais eficiente em distância rodoviária real (47.6 km). Subordinação sugerida à companhia Limoeiro do Norte (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Tamboril,-4.831364,-40.319593,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,420.7024,65.2319,355.4705,sim,nao,Tamboril foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (65.2 km frente a 420.7 km) com ganho de 355.5 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Tauá,-5.985853,-40.296802,companhia,companhia,Juazeiro do Norte,Crateús,Tauá,Tauá,224.2237,133.8211,90.4026,sim,nao,Tauá foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (133.8 km frente a 224.2 km) com ganho de 90.4 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True
Tianguá,-3.729645,-40.992286,companhia,companhia,Sobral,Sobral,Tianguá,Tianguá,88.8438,88.8438,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (88.8 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Trairi,-3.269323,-39.268126,pelotao,pelotao,Caucaia,Itapipoca,São Gonçalo do Amarante,Paraipaba,110.5094,53.4486,57.0608,sim,nao,Trairi foi redistribuído de Caucaia para Itapipoca por menor distância rodoviária real (53.4 km frente a 110.5 km) com ganho de 57.1 km. Subordinação sugerida à companhia Paraipaba (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Ubajara,-3.854479,-40.920437,pelotao,pelotao,Sobral,Sobral,Tianguá,Tianguá,81.976,81.976,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (82.0 km). Subordinação sugerida à companhia Tianguá (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Viçosa do Ceará,-3.566703,-41.091554,pelotao,pelotao,Sobral,Sobral,Tianguá,Tianguá,119.7561,119.7561,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (119.8 km). Subordinação sugerida à companhia Tianguá (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Várzea Alegre,-6.782642,-39.294155,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Iguatu,Iguatu,81.46,81.46,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (81.5 km). Subordinação sugerida à companhia Iguatu (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
