nome,nome_normalizado,latitude,longitude,id_municipio,tipo_atual,status_atual,batalhao_codigo_atual,batalhao_atual,companhia_atual,subordinacao_atual,observacoes,fonte_estrutura,fonte_coordenadas
Forquilha,FORQUILHA,-3.799445,-40.263733,681,pelotao,pelotao,4º BPRAIO,Sobral,Sobral,Sobral,Pelotão atualmente subordinado a Sobral.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Granja,GRANJA,-3.120289,-40.826804,684,pelotao,pelotao,4º BPRAIO,Sobral,Camocim,Camocim,Pelotão atualmente subordinado a Camocim.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Guaiúba,GUAIUBA,-4.040571,-38.640372,686,pelotao,pelotao,2º BPRAIO,Caucaia,Maranguape,Maranguape,Pelotão atualmente subordinado a Maranguape.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Guaraciaba do Norte,GUARACIABA DO NORTE,-4.166942,-40.747498,685,pelotao,pelotao,4º BPRAIO,Sobral,Tianguá,Tianguá,Pelotão atualmente subordinado a Tianguá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Horizonte,HORIZONTE,-4.120896,-38.470674,690,companhia,companhia,2º BPRAIO,Caucaia,Horizonte,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Ibiapina,IBIAPINA,-3.924003,-40.889523,691,pelotao,pelotao,4º BPRAIO,Sobral,Tianguá,Tianguá,Pelotão atualmente subordinado a Tianguá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Icapuí,ICAPUI,-4.712783,-37.355437,692,pelotao,pelotao,3º BPRAIO,Russas,Aracati,Aracati,Pelotão atualmente subordinado a Aracati.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Icó,ICO,-6.405281,-38.861938,694,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Iguatu,Iguatu,Pelotão atualmente subordinado a Iguatu.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Iguatu,IGUATU,-6.362805,-39.298236,693,companhia,companhia,5º BPRAIO,Juazeiro do Norte,Iguatu,Juazeiro do Norte,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Independência,INDEPENDENCIA,-5.3963,-40.308586,695,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Crateús,Crateús,Pelotão atualmente subordinado a Crateús.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Ipu,IPU,-4.322958,-40.710903,700,companhia,companhia,4º BPRAIO,Sobral,Ipu,Sobral,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Ipueiras,IPUEIRAS,-4.541938,-40.718247,701,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Crateús,Crateús,Pelotão atualmente subordinado a Crateús.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Itaitinga,ITAITINGA,-3.965768,-38.529763,705,pelotao,pelotao,2º BPRAIO,Caucaia,Maracanaú,Maracanaú,Pelotão atualmente subordinado a Maracanaú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Itapajé,ITAPAJE,-3.68444,-39.585194,706,pelotao,pelotao,4º BPRAIO,Sobral,Itapipoca,Itapipoca,Pelotão atualmente subordinado a Itapipoca.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Itapipoca,ITAPIPOCA,-3.499333,-39.583645,707,companhia,cia_independente,4º BPRAIO,Sobral,Itapipoca,Itapipoca,Outlier por impacto demográfico e centralidade logística (4º BPRAIO).,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Itarema,ITAREMA,-2.924804,-39.916417,708,pelotao,pelotao,4º BPRAIO,Sobral,Acaraú,Acaraú,Pelotão atualmente subordinado a Acaraú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Jaguaribe,JAGUARIBE,-5.902134,-38.622653,713,pelotao,pelotao,3º BPRAIO,Russas,Limoeiro do Norte,Limoeiro do Norte,Pelotão atualmente subordinado a Limoeiro do Norte.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Jaguaruana,JAGUARUANA,-4.831508,-37.780997,714,pelotao,pelotao,3º BPRAIO,Russas,Limoeiro do Norte,Limoeiro do Norte,Pelotão atualmente subordinado a Limoeiro do Norte.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Jardim,JARDIM,-7.586786,-39.280878,715,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Barbalha,Barbalha,Pelotão atualmente subordinado a Barbalha.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Juazeiro do Norte,JUAZEIRO DO NORTE,-7.213068,-39.315173,716,batalhao,batalhao,5º BPRAIO,Juazeiro do Norte,Juazeiro do Norte,Juazeiro do Norte,Sede atual do batalhão.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Lavras da Mangabeira,LAVRAS DA MANGABEIRA,-6.753622,-38.970991,718,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Iguatu,Iguatu,Pelotão atualmente subordinado a Iguatu.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Limoeiro do Norte,LIMOEIRO DO NORTE,-5.143921,-38.084693,721,companhia,companhia,3º BPRAIO,Russas,Limoeiro do Norte,Russas,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Maracanaú,MARACANAU,-3.86699,-38.625901,723,companhia,companhia,2º BPRAIO,Caucaia,Maracanaú,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Maranguape,MARANGUAPE,-3.891432,-38.682911,724,companhia,companhia,2º BPRAIO,Caucaia,Maranguape,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Marco,MARCO,-3.123902,-40.146398,722,pelotao,pelotao,4º BPRAIO,Sobral,Acaraú,Acaraú,Pelotão atualmente subordinado a Acaraú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Massapê,MASSAPE,-3.522294,-40.341098,727,pelotao,pelotao,4º BPRAIO,Sobral,Sobral,Sobral,Pelotão atualmente subordinado a Sobral.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Mauriti,MAURITI,-7.385697,-38.773867,728,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Brejo Santo,Brejo Santo,Pelotão atualmente subordinado a Brejo Santo.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Milagres,MILAGRES,-7.305949,-38.937858,732,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Brejo Santo,Brejo Santo,Pelotão atualmente subordinado a Brejo Santo.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Missão Velha,MISSAO VELHA,-7.244638,-39.143057,733,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Barbalha,Barbalha,Pelotão atualmente subordinado a Barbalha.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Mombaça,MOMBACA,-5.738445,-39.63065,734,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Iguatu,Iguatu,Pelotão atualmente subordinado a Iguatu.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Morada Nova,MORADA NOVA,-5.09736,-38.370158,736,pelotao,pelotao,3º BPRAIO,Russas,Limoeiro do Norte,Limoeiro do Norte,Pelotão atualmente subordinado a Limoeiro do Norte.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Nova Russas,NOVA RUSSAS,-4.705687,-40.562136,740,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Crateús,Crateús,Pelotão atualmente subordinado a Crateús.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Novo Oriente,NOVO ORIENTE,-5.534036,-40.771316,741,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Crateús,Crateús,Pelotão atualmente subordinado a Crateús.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Ocara,OCARA,-4.490135,-38.596978,744,pelotao,pelotao,3º BPRAIO,Russas,Quixadá,Quixadá,Pelotão atualmente subordinado a Quixadá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Pacajus,PACAJUS,-4.171073,-38.464988,746,companhia,companhia,2º BPRAIO,Caucaia,Pacajus,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Pacatuba,PACATUBA,-3.978396,-38.618296,747,companhia,companhia,2º BPRAIO,Caucaia,Pacatuba,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
