municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Amontada,Guaiúba,False,186.2952,173.62
Amontada,Guaraciaba do Norte,False,176.369,174.533333
Amontada,Horizonte,True,205.2627,207.68
Amontada,Ibiapina,False,155.9702,150.45
Amontada,Icapuí,False,359.1742,335.25
Amontada,Icó,False,536.0139,475.945
Amontada,Iguatu,False,463.5591,481.778333
Amontada,Independência,False,340.4497,322.095
Amontada,Ipu,False,183.6747,175.223333
Amontada,Ipueiras,False,208.4795,197.898333
Amontada,Itaitinga,False,185.8731,178.561667
Amontada,Itapajé,False,70.1332,70.765
Amontada,Itapipoca,True,32.5873,34.94
Amontada,Itarema,False,55.9172,54.716667
Amontada,Jaguaribe,False,467.1147,423.455
Amontada,Jaguaruana,False,340.4342,325.051667
Amontada,Jardim,False,731.8426,630.566667
Amontada,Juazeiro do Norte,True,683.6769,582.653333
Amontada,Lavras da Mangabeira,False,594.0379,518.878333
Amontada,Limoeiro do Norte,False,352.7343,339.891667
Amontada,Maracanaú,False,164.6949,158.58
Amontada,Maranguape,False,167.0159,160.196667
Amontada,Marco,False,54.6087,51.351667
Amontada,Massapê,False,91.2908,88.951667
Amontada,Mauriti,False,665.6363,576.615
Amontada,Milagres,False,653.0731,564.44
Amontada,Missão Velha,False,680.243,586.856667
Amontada,Mombaça,False,379.3259,394.713333
Amontada,Morada Nova,False,320.1257,316.251667
Amontada,Nova Russas,False,238.9772,226.585
Amontada,Novo Oriente,False,336.4665,317.351667
Amontada,Ocara,False,248.8683,229.281667
Amontada,Pacajus,False,208.8061,201.431667
Amontada,Pacatuba,False,178.4608,167.558333
Amontada,Paracuru,False,106.0096,108.555
Amontada,Paraipaba,False,89.3878,88.165
Amontada,Parambu,False,429.6322,403.783333
Amontada,Pedra Branca,False,333.5813,343.226667
Amontada,Pentecoste,False,91.817,100.32
Amontada,Quixadá,True,312.5294,296.521667
Amontada,Quixeramobim,False,319.0659,323.065
Amontada,Redenção,False,212.9817,195.553333
Amontada,Russas,True,321.7587,308.785
Amontada,Santa Quitéria,False,159.0889,157.698333
Amontada,Santana do Acaraú,False,69.6521,65.578333
Amontada,Senador Pompeu,False,373.5843,382.43
Amontada,Sobral,True,81.6746,79.428333
Amontada,São Benedito,False,170.6076,166.03
Amontada,São Gonçalo do Amarante,False,113.0885,110.395
